Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Mali;0;0;1666667;1666667;0;4333333;0;13333333;0;0;3372;0;876;185705;3859267;1088833;0;30853;24333;0;8508333;6151475;35145234;0;0;0;10;10;0
Mauritius;0;0;1;0;0;0;3;21;229999;17;245;17;26;46;361243;410763;496198;746767;513848;2693385;3264308;3079863;1077393;0;0;0;0;0;0
Morocco;0;3289999;6460002;37549999;264540001;346839999;571770001;774369996;147610005;708969994;834029889;756219899;1232219849;1416059825;107417393;1052283605;119776163;1385070098;1148757362;1340757485;10462947;1089571128;1054498955;860;840;800;960;1060;1300
Mozambique;329;5;0;1959;4;17;3;0;64;63;457135;247718;0;2856;218055;0;216682;1072;0,00823;0;212018;0;0,000043;0;0;0;0;0;0
Namibia;0;0;0;0;0;0;0;4026647;21558313;6211563;6093978;13061798;39036287;2024087;962895;4091322;11800661;3139375;132529;379819;223504;2086915;6679154;0;10;0;0;0;0
Niger;0;0;0;4472;78;312;624;156;2496;996;5029999;208;9319999;6739999;0;0;0;0;0;1443823;0;0;589667;0;10;0;30;40;30
Sao Tome and Principe;119;83;17;83;119;4830001;24;52;577;2;235;185;72;0;0;0;0;13773;63;952;0;4;24;0;0;0;0;0;0
Senegal;9;49999;94;39;0;9966623;0;173316;795965;3806778;1335802;543245;20168505;4967111;93837167;132681352;25179074;65632972;31968122;16453717;5706225;27483522;55754405;60;50;60;90;80;30
Seychelles;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;905;0;0;0;0;0;0;0;0;0;0;0
Somalia;5;527;137;8;617;185;42;47;999;0;47329;314;75;9779837;5749999;108;2159922;0;339943;391;16998;169972;0;0;0;0;0;0;0
South Africa, Rep.of;10283;283660008;584560005;33967;376120004;328439999;299850003;686709999;1162122968;433927284;443940616;360005451;324701948;278755582;343260433;403926109;829980067;1356305043;531814915;358330812;398810209;353845694;378252867;1000;1100;1070;980;1080;1060
Sudan;0;0;0;0;0;0;0;3;9;3;0;433333;0;0;0;0;0;0;3166667;833333;833333;833333;56;0;0;0;0;0;0
Asia & Oceania;14488880025;18267710041;19482160013;2,1306E+16;3,35778E+16;2,32006E+16;18578070043;25115629692;19266457334;19247041161;25873014758;3,37322E+16;37247812545;40300847255;4,3065E+15;38199626805;33540;31816665589;25968457573;31539272245;37643813702;36628639984;40797249585;43450907501;4,35981E+15;42570;50310;53330;70530
Armenia;0;0;0;0;0;0;0;479999;665;9179999;802;16119813;116610003;336790009;91835002;881602476;1023053008;1192469334;1028396299;607432807;345304783;285411207;267281333;254235542;2661685;250;170;210;170
Australia;1103770007;1432220019;800329992;458680013;592539998;5900068;837800012;989460002;724100009;708409998;893889982;1336629871;1449359852;1303839897;1400296435;1600592335;1823276201;1660541134;1340573466;1396860076;1430927327;1570486069;1354957995;1249893878;1380260176;1490;1780;1830;2310
Azerbaijan;0;0;0;0;893;0;0;0;0;34679999;0;0;0;0;0;0;0;0;66667;302;0;0;0;0;0;0;0;0;0
Bahrain;2650001;9429995;16599993;14969991;5879999;9959996;9259999;4109996;2989996;759996;395;1990161;3186141;984023;556037;18115921;35111873;23119133;16541677;1287539;14903377;13440522;15721209;10464279;26550458;60;20;20;80
