Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30
Eswatini;50000004;50000004;130540024;164679998;51499999;3002999;22859993;70260013;98530024;89070001;226519986;110;190;590;180;170;100;190;220;220;220;70;70;260;90;160;120;70;80
Gambia;3;3;3;3;3;2000004;2000004;2000004;999996;999996;83485;0;10;30;20;40;40;60;60;40;30;90;110;130;60;100;80;50;350
Guinea-Bissau;410013;750019;1800022;1269997;1110012;4469508;1930008;1959993;433316;65;433316;0;0;0;0;0;10;0;10;10;10;10;10;10;10;20;20;70;70
Lesotho;80;70;110;2166666;200000004;99999996;35;366666;416666;333334;25;20;20;50;30;10;10;10;10;20;30;50;60;10;40;40;40;110;70
Libya;1186329996;1287889997;1320850012;98537;442799992;577509988;223230002;115340014;407929968;779969981;196220002;470;640;220;680;420;370;360;660;720;1630;630;1910;2350;1970;2140;1750;2120;2810
Mali;143075095;138616746;14591684;15761684;15761684;161583586;121869574;134479885;186993643;130070159;190609789;210;300;410;180;180;150;340;310;320;680;500;240;300;240;470;550;490;870
Mauritania;1729987;4700053;6169979;560003;6420021;52162;62594;2890602;33498743;101625;3907265;100;90;90;130;120;40;20;40;50;40;50;50;100;70;120;130;160;1000
Mauritius;9159998;7900004;8840028;15480002;1779999;14460026;1369002;16560041;2440004;31700021;56909997;30;100;140;60;70;80;70;70;100;60;130;120;180;140;110;170;280;280
Morocco;3595060014;3347379942;3843160013;3433469964;3652859953;3349830002;3768760029;4519109993;4599870037;444028005;5864619995;5660;6290;5560;5090;4940;5570;6020;5430;6700;5820;5730;7380;7210;6300;6620;6800;7060;9170
Mozambique;1983254;595;1983254;1983254;3966746;595;7933254;13883493;11900001;21816747;5206481;0;10;0;20;20;20;40;60;40;40;60;30;70;110;80;130;160;70
